retweet_count,favorite_count,user_followers_count,date
919,0,180,2020-04-29
21,30,91616,2020-03-18
14,30,1328360,2020-05-23
1,3,68967,2020-05-23
1,2,60058,2020-05-17
658,0,378858,2020-03-17
20,71,3127760,2020-04-20
4700,0,3631,2020-04-18
69,240,2484148,2020-04-08
1,6,68967,2020-04-25
36,29,21322,2020-03-08
35,162,91616,2020-04-10
28,46,834276,2020-05-07
31,66,91616,2020-04-13
3,12,68093,2020-05-13
109,217,378858,2020-05-18
4,3,68967,2020-04-24
5,1,68967,2020-03-17
2,9,68967,2020-03-26
23,47,68093,2020-05-05
23,0,1083475,2020-04-18
48,55,201223,2020-03-03
19,64,3127760,2020-04-25
76,153,694204,2020-04-15
9,10,68093,2020-03-16
70,141,68967,2020-04-26
33,38,45459,2020-05-07
119,130,39508,2020-03-12
3,3,68967,2020-03-26
0,3,8651,2020-03-16
315,0,1083475,2020-05-05
7,0,10,2020-03-05
1045,0,328,2020-05-13
27,35,293623,2020-03-08
2,2,68967,2020-03-25
1013,0,31,2020-03-04
6,1,13497,2020-03-25
19,0,21322,2020-03-21
12,13,19164,2020-03-17
2,2,60058,2020-05-02
24,30,201223,2020-03-03
10,16,1328360,2020-04-24
3,7,77655,2020-05-08
2,1,60058,2020-04-02
89,257,2484148,2020-04-12
14,24,91616,2020-04-18
29,25,19164,2020-03-27
31,0,378858,2020-05-06
14,18,68967,2020-05-17
19,18,68967,2020-03-02
1,2,60058,2020-04-24
1,4,68967,2020-05-19
15,23,34158,2020-03-14
0,0,960,2020-03-05
8,15,694204,2020-05-15
25,0,39508,2020-05-12
2,8,68967,2020-05-08
12,15,1083475,2020-03-17
40,55,2484148,2020-03-17
0,2,343,2020-03-01
776,0,91616,2020-03-13
7,14,293623,2020-04-29
2,4,68966,2020-04-01
0,0,252,2020-03-04
25,33,19164,2020-04-02
14,17,2032861,2020-05-21
14,18,144497,2020-05-06
70,144,1328360,2020-04-23
17,22,34158,2020-05-01
85,0,23564,2020-05-01
11,9,34158,2020-03-19
2,11,68093,2020-05-09
253,0,1136,2020-03-03
0,1,94847,2020-05-07
8,0,7470,2020-05-06
75,112,3127760,2020-03-06
1423,0,52475,2020-03-22
17,77,293623,2020-03-25
11,24,2032861,2020-03-26
1,2,94847,2020-04-08
351,0,990,2020-03-29
43,97,3127760,2020-04-01
25,0,7470,2020-05-05
4,7,68966,2020-03-17
19,17,378858,2020-05-01
38,36,378858,2020-04-27
55,0,2484148,2020-05-20
112,128,3127760,2020-04-21
47,53,3127760,2020-04-24
1,11,68966,2020-05-04
20,26,91616,2020-03-09
8,11,77655,2020-04-08
66,0,2484148,2020-05-24
6,0,25835,2020-05-14
2656,0,183,2020-03-22
152,0,378858,2020-05-08
0,1,1444,2020-03-01
72,0,2484148,2020-04-24
57,0,19164,2020-03-19
44,137,2484148,2020-04-22
1856,0,25835,2020-05-25
15,18,1328360,2020-04-25
5,7,77655,2020-04-29
64,99,834276,2020-03-19
34,90,834276,2020-04-15
5,7,19164,2020-04-07
17,26,68093,2020-04-06
6,14,68093,2020-04-25
16,30,3127760,2020-03-07
26,0,91616,2020-03-25
36,163,91616,2020-05-13
326,0,708489,2020-04-28
2,6,68966,2020-05-25
25,0,2484148,2020-05-11
3,10,68966,2020-03-27
66,114,834276,2020-03-18
53,195,2484148,2020-04-17
3,7,77655,2020-05-25
51,0,39508,2020-04-16
24,95,2484148,2020-05-09
2757,0,34,2020-03-24
11,9,19164,2020-05-21
1072,0,45459,2020-03-20
19,35,3127760,2020-03-19
37,0,2484148,2020-04-24
0,1,1586,2020-03-22
16,19,91616,2020-03-10
14,0,60058,2020-05-04
73,253,2484148,2020-05-13
26,0,1083475,2020-05-11
0,1,762,2020-03-10
837,0,81,2020-04-27
3,9,68093,2020-04-27
3,10,68966,2020-04-10
0,0,60058,2020-04-28
8,19,1328360,2020-05-18
8,8,77655,2020-05-06
154,282,2484148,2020-05-25
23,18,2032861,2020-03-30
0,0,378858,2020-05-20
0,0,900,2020-05-13
95,387,2484148,2020-03-31
0,0,259,2020-03-30
75,122,91616,2020-03-21
21,27,45459,2020-05-18
308,0,378858,2020-04-06
4,4,18123,2020-05-16
25,45,694204,2020-05-20
2,8,68966,2020-05-25
96,399,2484148,2020-04-26
2,4,60058,2020-05-15
560,941,834276,2020-04-08
3,10,108424,2020-05-16
4,0,25835,2020-05-02
16,0,34158,2020-04-23
10,21,68966,2020-05-02
17,32,694204,2020-05-21
235,0,378858,2020-03-28
4680,0,39508,2020-03-11
0,3,68966,2020-04-23
838,0,262,2020-03-04
15,0,52475,2020-04-16
23,38,144497,2020-05-12
0,0,3047,2020-03-11
9,17,144497,2020-03-28
263,0,91616,2020-03-12
79,43,378858,2020-04-23
4,6,68966,2020-05-07
20,41,694204,2020-05-20
3,3,19164,2020-04-24
0,0,156,2020-03-10
1602,0,100,2020-03-06
1,3,60058,2020-05-18
6,4,60058,2020-05-12
2,4,60058,2020-05-18
59,38,378858,2020-03-06
518,938,834276,2020-03-19
2,4,68966,2020-04-15
46,41,34158,2020-03-05
16,0,1035,2020-03-24
2,3,60058,2020-05-14
12,36,293623,2020-05-10
5,0,21322,2020-04-01
144,146,834276,2020-03-27
2,0,25835,2020-05-22
4,4,293623,2020-05-06
5,12,108424,2020-04-23
1098,0,85,2020-04-19
2,8,39508,2020-05-06
19,39,52475,2020-03-22
255,0,2484148,2020-05-08
2,0,25835,2020-04-21
59,132,834276,2020-03-20
6,12,68966,2020-05-02
3,5,77655,2020-03-28
9,23,3127760,2020-05-19
41,0,2484148,2020-05-02
135,0,834276,2020-04-14
2,3,60058,2020-05-03
7547,0,654,2020-03-11
1472,0,25835,2020-05-17
13,5,2032861,2020-04-01
40,71,68966,2020-04-16
7,12,45459,2020-05-04
104,181,1328359,2020-04-28
94,0,19164,2020-03-17
37,0,378858,2020-04-22
20,23,108424,2020-04-27
0,0,41,2020-04-11
24,143,1328359,2020-05-22
0,0,49,2020-03-10
59,0,23564,2020-05-18
60,160,708489,2020-04-26
338,0,7361,2020-03-22
14,24,144497,2020-04-26
6,0,3256,2020-05-13
59,96,2032861,2020-03-16
289,1059,2484148,2020-04-07
0,1,144497,2020-04-20
33,65,834276,2020-05-08
5,4,4470,2020-05-18
27,37,1328359,2020-05-03
172,0,91616,2020-05-22
63,0,39508,2020-04-04
3,0,18680,2020-05-25
1,4,144497,2020-04-01
22,24,293623,2020-03-25
0,0,94847,2020-05-13
0,3,60058,2020-05-23
4,0,7470,2020-04-06
4,4,60058,2020-04-07
2,5,77655,2020-04-08
362,0,303,2020-04-21
54,65,91616,2020-03-21
1888,2448,1328359,2020-04-28
38,0,485512,2020-05-15
74,59,91616,2020-04-17
8,0,3031,2020-03-09
2,4,60058,2020-04-22
176,479,2484148,2020-04-04
223,1258,2484148,2020-04-02
0,0,96,2020-04-16
10,22,68966,2020-03-13
87,182,378858,2020-05-18
2,0,25835,2020-05-13
0,0,91,2020-04-24
5,14,68966,2020-03-06
32,0,981,2020-03-01
99,304,2484148,2020-05-07
27,0,2484148,2020-04-17
0,6,68966,2020-03-28
23,62,2484148,2020-05-22
12,42,9530,2020-04-15
3,8,68966,2020-03-31
34,90,2484148,2020-04-07
93,121,834276,2020-05-09
77,0,7470,2020-03-31
452,0,39508,2020-03-20
11,19,201223,2020-04-30
0,0,107,2020-03-27
70,0,2484148,2020-05-14
67,0,378858,2020-04-06
3,7,45459,2020-04-09
30,22,19164,2020-04-08
28,46,68093,2020-04-06
53,0,378858,2020-05-13
40,0,21322,2020-04-20
4568,0,611,2020-03-16
223,337,834276,2020-05-01
2,7,144497,2020-04-03
24,59,2484148,2020-05-19
34,0,378858,2020-05-06
2,0,77655,2020-03-30
19,17,2032861,2020-03-22
33,53,708489,2020-05-06
76,0,23564,2020-04-17
6,11,77655,2020-05-24
79,75,94847,2020-05-05
7,11,2032861,2020-04-17
1,3,68966,2020-03-27
1,1,2124,2020-03-23
74,198,708489,2020-04-30
4,9,60058,2020-04-12
28,85,2484148,2020-05-14
2,1,108424,2020-03-09
1197,1880,834276,2020-03-30
178,0,3039,2020-04-02
1631,0,23,2020-03-10
85,0,378858,2020-03-21
1,1,4470,2020-04-21
23,80,708489,2020-05-04
2,3,60058,2020-04-13
25,47,2032861,2020-05-02
2,17,52475,2020-04-04
0,2,68966,2020-03-11
0,0,1002,2020-03-10
25,18,91616,2020-04-09
9920,0,273,2020-03-22
29,0,45459,2020-03-17
8,0,7470,2020-05-21
0,1,52,2020-03-04
77,129,694204,2020-04-23
234,0,39508,2020-03-31
22,31,694204,2020-03-30
35,0,52475,2020-03-14
193,0,21322,2020-03-05
13,18,108424,2020-04-15
7,16,68093,2020-04-25
8,11,68966,2020-05-09
11,0,52475,2020-04-10
31,0,2484148,2020-05-11
47,0,91616,2020-03-22
19,0,2032861,2020-05-18
5,7,68966,2020-03-20
172,0,7470,2020-03-25
10,13,2032861,2020-04-06
1,3,45459,2020-03-02
152,272,834276,2020-04-03
344,432,1083476,2020-04-03
2,4,60058,2020-04-18
1170,0,25835,2020-04-08
11,9,19170,2020-03-28
7,24,3127760,2020-03-21
54,63,1328359,2020-04-28
4,4,34158,2020-04-10
7,8,45459,2020-04-15
43,39,19164,2020-04-07
48,0,39508,2020-03-27
35,0,1532,2020-05-13
32,54,60058,2020-03-31
38,43,378858,2020-04-03
1,2,60058,2020-04-15
2,4,8651,2020-04-22
5,12,68966,2020-04-10
10,22,108424,2020-04-08
38,65,1083476,2020-04-22
4905,0,590,2020-03-18
281,551,2484148,2020-03-19
4,14,68966,2020-05-21
25,37,1083476,2020-04-28
46,58,3127760,2020-04-08
36,76,2032861,2020-03-14
31653,0,1658,2020-03-14
177,0,39508,2020-03-26
22207,0,165,2020-03-13
556,0,44,2020-04-07
26,0,18123,2020-04-07
5697,0,9,2020-03-22
1655,0,2,2020-03-09
27,54,2484148,2020-03-13
38,0,61,2020-03-01
0,0,50,2020-03-10
36,0,108424,2020-03-30
73,72,23564,2020-05-22
5,23,10588,2020-03-05
34,0,2484148,2020-05-11
1,6,68966,2020-03-25
3,2,60058,2020-04-22
42,64,201223,2020-05-19
10,12,18123,2020-03-13
28,37,60058,2020-03-22
1,1,68966,2020-05-02
41,0,39508,2020-03-19
3,0,962,2020-03-10
1,4,52475,2020-03-05
7,3,19164,2020-04-28
0,1,1915,2020-03-03
113,332,2484148,2020-04-17
5,3,4470,2020-03-03
19,30,201223,2020-03-27
26,162,2484148,2020-04-30
2,6,18680,2020-03-23
112,0,1083476,2020-05-14
214,488,144497,2020-05-11
58,117,2032861,2020-04-06
1238,0,275,2020-03-21
8,8,18123,2020-03-22
0,6,68966,2020-03-05
29,21,378858,2020-05-01
5,6,45459,2020-03-31
28,0,39508,2020-05-06
0,0,94847,2020-03-16
0,4,8651,2020-04-17
4,0,7470,2020-03-28
42,100,3127760,2020-05-18
87,168,2032861,2020-04-26
3,0,25835,2020-04-09
88,0,39508,2020-04-24
1,6,68966,2020-04-21
59,0,2484148,2020-05-13
13,11,60058,2020-03-11
3,0,181,2020-03-01
380,0,25835,2020-05-18
8,13,60058,2020-03-02
0,11,68966,2020-04-25
0,0,68966,2020-03-21
42,94,293623,2020-04-26
15,0,60058,2020-03-25
41,26,45459,2020-03-23
33,0,39508,2020-05-01
1,3,19164,2020-05-20
58,94,201223,2020-04-29
11,29,144497,2020-05-13
0,0,151,2020-03-11
49,38,91616,2020-03-21
113,0,11,2020-03-06
38,52,91616,2020-03-13
292,489,834276,2020-04-02
37,39,60058,2020-04-01
3,0,25835,2020-04-27
50,119,52475,2020-04-04
59,41,1328359,2020-05-09
58,106,3127760,2020-05-20
6,5,19164,2020-03-19
10,9,77655,2020-04-11
11,36,45459,2020-04-21
11,22,34158,2020-03-17
3,7,52475,2020-04-22
25,29,39508,2020-03-04
1,2,19164,2020-05-15
2020,0,708489,2020-03-20
0,1,94847,2020-04-29
111,132,144497,2020-03-23
43,0,52475,2020-05-20
0,1,52475,2020-04-08
53,0,7470,2020-03-17
2,12,45459,2020-04-09
0,1,52475,2020-03-09
2051,0,7470,2020-03-17
9,15,68093,2020-04-22
17,71,2484148,2020-05-20
17,44,834276,2020-03-25
106,263,2484148,2020-05-01
17,7,45459,2020-04-21
2,10,108424,2020-04-15
25,38,1083476,2020-03-30
4,15,68966,2020-04-12
3,5,45459,2020-03-19
80,0,23564,2020-04-01
11,23,694204,2020-04-19
436,1485,708489,2020-03-27
3,7,60058,2020-04-25
49,150,2484148,2020-04-15
37,47,3127760,2020-03-02
7,0,7470,2020-05-19
3,0,25835,2020-05-14
18,19,19164,2020-04-30
4,9,77655,2020-04-03
76,121,834276,2020-05-15
27,60,91616,2020-04-18
28,45,19164,2020-03-19
57,82,2032861,2020-05-07
3,4,45459,2020-04-06
49,97,834276,2020-04-25
6,6,19164,2020-04-22
68,215,2484148,2020-04-07
1,1,556,2020-03-04
14,17,3127760,2020-05-14
3,22,68966,2020-05-10
859,0,2,2020-04-17
6,0,2863,2020-03-25
3,4,60058,2020-04-18
151,180,485512,2020-05-14
38,55,108424,2020-04-03
1,19,68966,2020-05-12
3,6,39508,2020-05-15
1,4,60058,2020-05-03
9,11,68966,2020-04-10
0,0,288,2020-04-06
6,12,68966,2020-05-02
22,18,45459,2020-03-29
2,5,60058,2020-04-29
58,158,2484148,2020-04-21
5,7,60058,2020-04-13
6,10,144497,2020-04-19
76,99,201223,2020-05-01
20,13,60058,2020-03-18
59,109,201223,2020-04-07
17,20,3127760,2020-03-27
0,0,94847,2020-04-15
9,5,34158,2020-03-13
0,0,1467,2020-03-04
824,0,1747,2020-04-11
14,30,694204,2020-04-15
29,31,60058,2020-03-28
7,8,34158,2020-05-06
15,16,2032861,2020-05-13
0,1,9790,2020-03-23
2,4,60058,2020-05-24
16,26,108424,2020-04-11
304,368,293623,2020-04-01
1201,1978,834276,2020-05-01
1,4,18123,2020-04-15
15,14,108424,2020-05-05
306,0,1083476,2020-05-03
39,122,2484148,2020-05-18
10,14,144497,2020-05-22
1,3,68966,2020-05-22
11,11,60058,2020-03-25
17,0,19164,2020-04-09
4,6,19164,2020-03-25
3,10,144497,2020-05-22
645,0,118,2020-03-01
638,0,34158,2020-03-30
0,3,68966,2020-05-02
4,4,60058,2020-04-26
7,31,18123,2020-05-03
28,0,39508,2020-04-23
2,7,68966,2020-04-02
4,2,60058,2020-05-18
15,12,91616,2020-04-23
0,0,68966,2020-03-28
10809,0,144497,2020-04-02
0,0,2033,2020-03-04
0,1,68966,2020-03-31
3,4,60058,2020-04-23
56,0,14081,2020-04-04
818,0,128,2020-04-18
3,13,68966,2020-04-22
2,2,60058,2020-05-04
5,9,68966,2020-05-04
5,0,8651,2020-04-18
2,2,60058,2020-04-13
124,357,2484148,2020-04-09
9,15,1328359,2020-05-25
0,2,3342,2020-03-05
12,16,45459,2020-04-07
1,6,28473,2020-03-23
0,1,1808,2020-03-02
12,18,77655,2020-04-24
2,6,8651,2020-03-26
174,0,7470,2020-04-01
394,0,7470,2020-04-09
17,14,1328359,2020-04-26
19,56,45459,2020-03-12
15,17,34158,2020-04-06
11,11,2032861,2020-04-23
15,12,34158,2020-03-10
499,0,25835,2020-03-27
133,0,263,2020-04-22
2,12,19164,2020-03-26
2,5,68966,2020-04-22
29,95,108424,2020-05-04
58,0,378858,2020-05-12
352,396,3127760,2020-03-29
1164,0,230,2020-03-05
7,12,2032861,2020-05-11
118,0,7470,2020-03-06
1299,0,52475,2020-03-11
4,4,8651,2020-03-23
4,8,378858,2020-05-15
26,34,183783,2020-03-07
68,106,694204,2020-03-18
1,1,5053,2020-03-09
117,0,485512,2020-05-04
11,25,293623,2020-03-17
1,2,60058,2020-05-11
541,485,708489,2020-03-18
146,0,25835,2020-03-04
19,19,60058,2020-03-27
63,125,834276,2020-03-19
1,3,60058,2020-04-19
14,10,19164,2020-05-21
122,0,205,2020-03-01
1,5,68966,2020-04-30
2,0,25835,2020-05-20
4,8,39508,2020-04-01
48,0,7470,2020-05-12
0,0,67,2020-03-12
22,50,108424,2020-03-05
29,30,60058,2020-03-04
0,0,94847,2020-04-28
1,1,68966,2020-05-16
0,0,967,2020-03-25
48,0,2484148,2020-04-15
6,0,19164,2020-04-17
30,70,144497,2020-05-04
12,13,91616,2020-04-28
0,1,108424,2020-03-07
38,126,2484148,2020-04-29
10,0,91616,2020-04-22
3,5,19164,2020-03-09
6,23,3127760,2020-04-02
1,3,8651,2020-03-28
218,0,7470,2020-03-17
2,4,60058,2020-05-20
61,0,378858,2020-05-25
0,0,94847,2020-04-29
21,0,91616,2020-04-12
100,166,45459,2020-05-23
35,44,1328359,2020-05-24
61,0,378858,2020-05-12
144,377,2484148,2020-04-28
29,72,3127760,2020-04-07
139,370,2484148,2020-04-02
2,3,60058,2020-05-21
11,13,2032861,2020-03-27
3,3,18123,2020-05-11
154,429,2484148,2020-05-01
50,0,378858,2020-04-29
1,6,68966,2020-03-22
2,8,91616,2020-03-03
11,16,45459,2020-05-13
217,0,378858,2020-03-23
3,3,60058,2020-04-12
2,6,60058,2020-04-30
96,0,378858,2020-04-22
0,3,68966,2020-03-17
10,11,694204,2020-04-23
176,220,3127760,2020-04-30
10,10,77655,2020-04-11
4,17,68966,2020-05-16
41,38,34158,2020-03-12
80,54,94847,2020-03-23
1,0,7470,2020-03-18
0,0,1475,2020-04-15
4,5,4736,2020-03-05
98,146,3127760,2020-03-25
4,9,60058,2020-04-21
99,0,39508,2020-04-23
2,9,13497,2020-04-12
143,336,2484148,2020-05-11
21,0,2484148,2020-05-22
8,21,94847,2020-04-03
1,3,68966,2020-03-25
34,64,708488,2020-04-29
2,0,312,2020-03-01
3,3,60058,2020-04-21
54,0,77655,2020-05-07
46,61,3127760,2020-03-06
3,17,694204,2020-05-06
0,3,191,2020-04-30
19,0,52475,2020-04-28
18,34,19170,2020-05-11
17,20,144497,2020-04-04
